,user_id,demo_197101,demo_197102,demo_197103,demo_197104,demo_197105,demo_197106,demo_197107,demo_197108
0,0,0.0014639471588384634,0.7358838607189849,0.9902872206887645,0.5310856366192982,0.8994030232132638,0.14748329499516366,0.6852775034066244,0.044697681809262035
1,1,0.7021231627604593,0.09766482872842552,0.11360229859084281,0.7921574960247587,0.2668049832553949,0.43054043787962926,0.9851208271937917,0.4602287348005054
2,2,0.41607329568347307,0.7012942451474479,0.4934160246644166,0.21946479042375555,0.6613177275987449,0.5954680568869668,0.5590060044899909,0.5494436002346722
3,3,0.5722178747470071,0.15091428707176435,0.9933498936763671,0.755890302735119,0.5803770837606691,0.33184871627279433,0.13456905749537618,0.7094810033514957
4,4,0.1630690096976991,0.47322639857409876,0.2207637440458019,0.6954872220367426,0.7779682843821426,0.7032191091167046,0.8861772575050962,0.9385496491964689
5,5,0.059573718171064716,0.6004007666468132,0.16834172076224974,0.936274763924213,0.775208744468963,0.4404576489891503,0.7138053670438055,0.5311402507143909
6,6,0.9715203344798004,0.31394678788430264,0.963273716616183,0.19551695043441653,0.399842673854812,0.877454158406771,0.7841639531146163,0.9144445144093886
7,7,0.40857813155066136,0.3529507779147324,0.04857996417701815,0.26164797708606746,0.5983748281609739,0.5273459290028207,0.032442943789189216,0.6468838130120722
8,8,0.9909013030789591,0.9679438732079456,0.984909988340955,0.45365123137091,0.09320277765303808,0.9179566034058242,0.8356915214658669,0.6645586284839978
9,9,0.38070441023014456,0.08684247342633467,0.6480683675499201,0.19995013349199986,0.911549658605439,0.1549675416516484,0.7935226124403607,0.4533607554693504
10,10,0.18137284281762778,0.6880386992055211,0.26398588533331757,0.7645873672974347,0.7363966508006222,0.07883752458280346,0.10009987036094548,0.2570834680763351
11,11,0.33357209979996894,0.44069885959031807,0.14948173577951518,0.24969936891149846,0.030448717535867642,0.764138814413401,0.41608456315086817,0.2516172169600831
12,12,0.5795082125329823,0.15228001212136122,0.40887218977663153,0.9432979348146037,0.30876665829019256,0.6279975161035811,0.6530942726836144,0.4027296566950903
